date,stock_id,type,value,origin_name
2024-09-30,6257,EPS,1.02,基本每股盈餘
2024-09-30,2816,Revenue,2637520000.0,營業收入
2024-09-30,2511,EPS,0.07,基本每股盈餘
2024-09-30,2327,EPS,11.01,基本每股盈餘
2024-09-30,3038,EPS,0.49,基本每股盈餘
2024-09-30,2324,EPS,0.77,基本每股盈餘
2024-09-30,6274,EPS,2.77,基本每股盈餘
2024-09-30,2506,EPS,2.56,基本每股盈餘
2024-09-30,2547,EPS,-0.07,基本每股盈餘
2024-09-30,3040,EPS,0.12,基本每股盈餘
2024-09-30,2546,EPS,1.86,基本每股盈餘
2024-09-30,2317,EPS,3.55,基本每股盈餘
2024-09-30,1301,EPS,-0.49,基本每股盈餘
2024-09-30,3041,EPS,-0.28,基本每股盈餘
2024-09-30,3042,EPS,1.5,基本每股盈餘
2024-09-30,2308,EPS,4.75,基本每股盈餘
2024-09-30,3043,EPS,0.25,基本每股盈餘
2024-09-30,2204,EPS,1.48,基本每股盈餘
2024-09-30,2303,EPS,1.16,基本每股盈餘
2024-09-30,1210,EPS,1.0,基本每股盈餘
2024-09-30,3044,EPS,4.42,基本每股盈餘
2024-09-30,2301,EPS,1.48,基本每股盈餘
2024-09-30,2509,EPS,0.4,基本每股盈餘
2024-09-30,3045,EPS,1.38,基本每股盈餘
2024-09-30,1303,EPS,0.01,基本每股盈餘
2024-09-30,2208,EPS,-0.55,基本每股盈餘
2024-09-30,3046,EPS,1.25,基本每股盈餘
2024-09-30,3047,EPS,0.35,基本每股盈餘
2024-09-30,2207,EPS,7.69,基本每股盈餘
2024-09-30,6269,EPS,-1.03,基本每股盈餘
2024-09-30,2545,EPS,3.3,基本每股盈餘
2024-09-30,2061,EPS,-0.4,基本每股盈餘
2024-09-30,3048,EPS,-2.38,基本每股盈餘
2024-09-30,6271,EPS,2.53,基本每股盈餘
2024-09-30,6245,EPS,1.58,基本每股盈餘
2024-09-30,1307,EPS,0.97,基本每股盈餘
2024-09-30,3141,EPS,-0.08,基本每股盈餘
2024-09-30,3494,EPS,-0.11,基本每股盈餘
2024-09-30,2006,EPS,1.48,基本每股盈餘
2024-09-30,6227,EPS,1.43,基本每股盈餘
2024-09-30,3515,EPS,2.5,基本每股盈餘
2024-09-30,2520,EPS,2.51,基本每股盈餘
2024-09-30,3518,EPS,-0.68,基本每股盈餘
2024-09-30,2536,EPS,0.02,基本每股盈餘
2024-09-30,2002,EPS,-0.01,基本每股盈餘
2024-09-30,1310,EPS,-0.34,基本每股盈餘
2024-09-30,3530,EPS,1.22,基本每股盈餘
2024-09-30,1789,EPS,0.03,基本每股盈餘
2024-09-30,3532,EPS,0.45,基本每股盈餘
2024-09-30,1788,EPS,1.85,基本每股盈餘
2024-09-30,6214,EPS,1.79,基本每股盈餘
2024-09-30,2524,EPS,1.05,基本每股盈餘
2024-09-30,2534,EPS,0.02,基本每股盈餘
2024-09-30,2535,EPS,0.92,基本每股盈餘
2024-09-30,1786,EPS,0.82,基本每股盈餘
2024-09-30,1101,EPS,0.42,基本每股盈餘
2024-09-30,3548,EPS,1.09,基本每股盈餘
2024-09-30,1312,EPS,-0.29,基本每股盈餘
2024-09-30,3550,EPS,-0.85,基本每股盈餘
2024-09-30,1784,EPS,0.23,基本每股盈餘
2024-09-30,3576,EPS,-0.49,基本每股盈餘
2024-09-30,1777,EPS,2.6,基本每股盈餘
2024-09-30,6194,EPS,0.58,基本每股盈餘
2024-09-30,3583,EPS,3.0,基本每股盈餘
2024-09-30,1762,EPS,-0.11,基本每股盈餘
2024-09-30,2528,EPS,-0.27,基本每股盈餘
2024-09-30,8210,EPS,5.34,基本每股盈餘
2024-09-30,2515,EPS,0.16,基本每股盈餘
2024-09-30,2007,EPS,-0.56,基本每股盈餘
2024-09-30,6230,EPS,-0.37,基本每股盈餘
2024-09-30,2059,EPS,12.12,基本每股盈餘
2024-09-30,2540,EPS,0.73,基本每股盈餘
2024-09-30,3037,EPS,0.66,基本每股盈餘
2024-09-30,1102,EPS,0.57,基本每股盈餘
2024-09-30,3189,EPS,0.41,基本每股盈餘
2024-09-30,2049,EPS,1.88,基本每股盈餘
2024-09-30,3209,EPS,1.05,基本每股盈餘
2024-09-30,2015,EPS,0.78,基本每股盈餘
2024-09-30,6244,EPS,0.06,基本每股盈餘
2024-09-30,3211,EPS,6.36,基本每股盈餘
2024-09-30,2538,EPS,-0.11,基本每股盈餘
2024-09-30,3228,EPS,-0.52,基本每股盈餘
2024-09-30,2014,EPS,-0.42,基本每股盈餘
2024-09-30,3230,EPS,-0.46,基本每股盈餘
2024-09-30,2013,EPS,0.73,基本每股盈餘
2024-09-30,1308,EPS,-0.36,基本每股盈餘
2024-09-30,3231,EPS,1.47,基本每股盈餘
2024-09-30,2012,EPS,0.15,基本每股盈餘
2024-09-30,6239,EPS,2.28,基本每股盈餘
2024-09-30,3260,EPS,2.01,基本每股盈餘
2024-09-30,2516,EPS,0.36,基本每股盈餘
2024-09-30,2010,EPS,0.47,基本每股盈餘
2024-09-30,3376,EPS,1.77,基本每股盈餘
2024-09-30,3406,EPS,12.22,基本每股盈餘
2024-09-30,2009,EPS,0.6,基本每股盈餘
2024-09-30,2537,EPS,0.08,基本每股盈餘
2024-09-30,1309,EPS,-0.25,基本每股盈餘
2024-09-30,3443,EPS,7.71,基本每股盈餘
2024-09-30,2008,EPS,0.16,基本每股盈餘
2024-09-30,3481,EPS,0.05,基本每股盈餘
2024-09-30,8044,EPS,-1.21,基本每股盈餘
2024-09-30,2548,EPS,4.32,基本每股盈餘
2024-09-30,3036,EPS,2.54,基本每股盈餘
2024-09-30,2881,EPS,2.64,基本每股盈餘（元）
